Country,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population,Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Production),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,Year,Other renewables,Biofuels consumption,Solar consumption,Wind consumption,Hydro consumption,Nuclear consumption,Gas consumption,Coal consumption,Oil consumption,CO2 emissions,Urbanization
Fiji,73.1,68,0.75,13611.3,Asia-Pacific,UM, 0.9 ,0.6,0.1,0.6,0.6,0.4,0.1,2.5,0.8,0.2,0.7,0.8,0.2,0.1,2.8,0.6,0.1,1.4,0.6,0.1,2.8,0.0 ,1.8,1.0,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1355680,0.57
Finland,86.2,82,0.94,48624.1,EU-28,HI, 5.5 ,1.0,0.1,7.5,2.5,0.1,0.1,11.4,1.1,0.2,0.5,3.1,0.2,0.1,5.2,1.0,0.1,8.4,2.3,0.1,11.9,6.7 ,3.4,0.4,2019,42.430965,4.451611,0.38796777,15.881063,32.74003,60.37841,20.338333,41.046944,109.32646,42442000,0.85
France,81.1,83,0.91,47753.5,EU-28,HI, 65.2 ,1.2,0.2,0.4,1.6,0.1,0.2,3.7,1.3,0.3,0.5,2.4,0.2,0.2,4.8,1.2,0.2,1.0,0.1,0.2,2.7,(2.2),3.1,1.8,2019,28.0166,34.181557,30.70351,91.245125,147.68752,1009.28723,436.6204,79.423065,872.3976,315015330,0.81
French Guiana,,,,,South America,, 0.3 ,,,,,,,1.4,,,,,,,1.8,,,,,,91.8,90.0 ,1.2,0.0,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
French Polynesia,,83,,,Asia-Pacific,HI, 0.3 ,,,,,,,2.1,,,,,,,3.6,,,,,,1.2,(2.4),2.3,3.1,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,890352,0.62
Gabon,62.9,67,0.71,15608.1,Africa,UM, 2.2 ,0.4,0.0,0.8,0.4,0.1,0.0,1.7,0.6,0.1,0.5,0.5,0.3,0.0,2.0,0.4,1.0,14.5,2.2,0.0,18.0,16.1 ,1.3,0.1,2019,0,0,0,0,0,0,0,0,0,5330759,0.9
Gambia,60.3,64,0.50,2225.31,Africa,LI, 2.3 ,0.1,0.0,0.1,0.1,0.1,0.0,0.5,0.4,0.1,0.1,0.2,0.1,0.0,0.9,0.1,0.0,0.1,0.2,0.0,0.5,(0.4),0.6,1.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,710816,0.62
Georgia,72.7,73,0.81,14975.8,Middle East/Central Asia,LM, 4.0 ,0.1,0.2,0.1,1.0,0.4,0.1,1.9,0.4,0.2,0.2,1.3,0.5,0.1,2.6,0.1,0.4,0.7,0.1,0.1,1.4,(1.2),1.7,1.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10886591,0.59
Germany,81.9,81,0.95,54234.4,EU-28,HI, 83.5 ,0.5,0.1,0.6,2.6,0.0,0.2,4.0,0.9,0.2,0.5,2.9,0.1,0.2,4.7,0.5,0.1,0.7,0.1,0.2,1.6,(3.1),3.0,3.0,2019,160.51271,32.160137,119.20131,331.8531,52.01037,189.8903,892.83026,624.2178,1292.1638,709826700,0.77
Ghana,63.2,65,0.63,5585.9,Africa,LM, 30.4 ,0.4,0.1,0.6,0.2,0.2,0.1,1.6,0.4,0.1,0.6,0.3,0.3,0.1,1.8,0.4,0.2,0.2,0.0,0.1,1.0,(0.8),1.2,1.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16418407,0.57
Greece,76.5,82,0.89,29636.9,EU-28,HI, 10.5 ,1.0,0.1,0.1,1.9,0.1,0.1,3.2,1.2,0.4,0.3,2.2,0.1,0.1,4.3,1.0,0.1,0.2,0.2,0.1,1.6,(2.7),2.8,2.6,2019,1.2833521,2.2568612,11.6734295,19.15389,10.5428295,0,57.583,37.175343,177.21858,65736276,0.79
Grenada,,75,0.80,16867.7,Central America/Caribbean,UM, 0.1 ,,,,,,,1.1,,,,,,,1.9,,,,,,1.6,(0.3),1.3,1.2,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,329760,0.36
Guadeloupe,,,,,Central America/Caribbean,, 0.4 ,,,,,,,2.2,,,,,,,3.8,,,,,,0.5,(3.2),2.4,6.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Guatemala,60.9,73,0.64,8156.23,Central America/Caribbean,LM, 17.6 ,0.3,0.1,0.5,0.4,0.1,0.2,1.6,0.4,0.2,0.6,0.5,0.1,0.2,1.9,0.3,0.1,0.3,0.0,0.2,1.0,(1.0),1.2,2.0,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19303848,0.51
Guinea,51.7,60,0.47,2405.89,Africa,LI, 12.8 ,0.3,0.5,0.4,0.1,0.1,0.0,1.4,0.4,0.5,0.4,0.1,0.1,0.0,1.6,0.3,0.7,0.5,0.3,0.0,1.8,0.2 ,1.1,0.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3920951,0.36
Guinea-Bissau,,61,0.49,2330.24,Africa,LI, 1.9 ,0.5,0.1,0.6,0.0,0.1,0.0,1.3,0.4,0.1,0.6,0.1,0.1,0.0,1.3,0.5,0.1,0.3,1.5,0.0,2.4,1.1 ,0.8,0.5,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,322432,0.44
